feature	weight
log-BR-col-7	0.0055632136985
log-SE-col-7	0.00895142795313
log-TW-col-7	0.00937223180166
log-KR-col-7	0.00947057681168
log-IL-col-7	0.00957155931824
log-DK-col-7	0.00976798145827
log-RU-col-7	0.00979233126108
log-CN-col-7	0.0119336684784
log-LU-col-7	0.0123904452136
log-CR-col-7	0.013674136444
log---col-7	0.0160470463321
log-Adult	0.0189521287602
log-AU-col-2	0.018992998193
log-FR-col-7	0.0210034953401
log-DE-col-7	0.0210849077263
log-NL-col-7	0.0227337694393
log-JP-col-7	0.0230125436628
log-CA-col-7	0.0238925505124
log-HK-col-7	0.0268813724384
log-GB-col-7	0.0310785465792
log-IE-col-7	0.031490772263
log-AU-col-7	0.032354529917
log-Lifestyle	0.0357754349858
log-EU-col-7	0.037445892853
score-ave	0.038640268161
log-Network Bandwidth	0.0402890783751
log-SG-col-7	0.0407868542984
log-Internet Security	0.0418477239175
log-Communications and Search	0.0454190245273
log-Business	0.046353380783
log-General	0.0466466982228
log-US-col-7	0.0514612517632
log-US-col-2	0.0681857360864
